TIMESLICE,YEAR,VALUE
WND1,2064,0.089285714
WND1,2065,0.089285714
WND2,2015,0.089285714
WND2,2016,0.089285714
WND2,2017,0.089285714
WND2,2018,0.089285714
WND2,2019,0.089285714
WND2,2020,0.089285714
WND2,2021,0.089285714
WND2,2022,0.089285714
WND2,2023,0.089285714
WND2,2024,0.089285714
WND2,2025,0.089285714
WND2,2026,0.089285714
WND2,2027,0.089285714
WND2,2028,0.089285714
WND2,2029,0.089285714
WND2,2030,0.089285714
WND2,2031,0.089285714
WND2,2032,0.089285714
WND2,2033,0.089285714
WND2,2034,0.089285714
WND2,2035,0.089285714
WND2,2036,0.089285714
WND2,2037,0.089285714
WND2,2038,0.089285714
WND2,2039,0.089285714
WND2,2040,0.089285714
WND2,2041,0.089285714
WND2,2042,0.089285714
WND2,2043,0.089285714
WND2,2044,0.089285714
WND2,2045,0.089285714
WND2,2046,0.089285714
WND2,2047,0.089285714
WND2,2048,0.089285714
WND2,2049,0.089285714
WND2,2050,0.089285714
WND2,2051,0.089285714
WND2,2052,0.089285714
WND2,2053,0.089285714
WND2,2054,0.089285714
WND2,2055,0.089285714
WND2,2056,0.089285714
WND2,2057,0.089285714
WND2,2058,0.089285714
WND2,2059,0.089285714
WND2,2060,0.089285714
WND2,2061,0.089285714
WND2,2062,0.089285714
WND2,2063,0.089285714
WND2,2064,0.089285714
WND2,2065,0.089285714
WNE1,2015,0.035714286
WNE1,2016,0.035714286
WNE1,2017,0.035714286
WNE1,2018,0.035714286
WNE1,2019,0.035714286
WNE1,2020,0.035714286
WNE1,2021,0.035714286
WNE1,2022,0.035714286
WNE1,2023,0.035714286
WNE1,2024,0.035714286
WNE1,2025,0.035714286
WNE1,2026,0.035714286
WNE1,2027,0.035714286
WNE1,2028,0.035714286
WNE1,2029,0.035714286
WNE1,2030,0.035714286
WNE1,2031,0.035714286
WNE1,2032,0.035714286
WNE1,2033,0.035714286
WNE1,2034,0.035714286
WNE1,2035,0.035714286
WNE1,2036,0.035714286
WNE1,2037,0.035714286
WNE1,2038,0.035714286
WNE1,2039,0.035714286
WNE1,2040,0.035714286
WNE1,2041,0.035714286
WNE1,2042,0.035714286
WNE1,2043,0.035714286
WNE1,2044,0.035714286
WNE1,2045,0.035714286
WNE1,2046,0.035714286
WNE1,2047,0.035714286
WNE1,2048,0.035714286
WNE1,2049,0.035714286
WNE1,2050,0.035714286
WNE1,2051,0.035714286
WNE1,2052,0.035714286
WNE1,2053,0.035714286
WNE1,2054,0.035714286
WNE1,2055,0.035714286
WNE1,2056,0.035714286
WNE1,2057,0.035714286
WNE1,2058,0.035714286
WNE1,2059,0.035714286
WNE1,2060,0.035714286
WNE1,2061,0.035714286
WNE1,2062,0.035714286
WNE1,2063,0.035714286
WNE1,2064,0.035714286
WNE1,2065,0.035714286
WNE2,2015,0.035714286
WNE2,2016,0.035714286
WNE2,2017,0.035714286
WNE2,2018,0.035714286
WNE2,2019,0.035714286
WNE2,2020,0.035714286
WNE2,2021,0.035714286
WNE2,2022,0.035714286
WNE2,2023,0.035714286
WNE2,2024,0.035714286
WNE2,2025,0.035714286
WNE2,2026,0.035714286
WNE2,2027,0.035714286
WNE2,2028,0.035714286
WNE2,2029,0.035714286
WNE2,2030,0.035714286
WNE2,2031,0.035714286
WNE2,2032,0.035714286
WNE2,2033,0.035714286
WNE2,2034,0.035714286
WNE2,2035,0.035714286
WNE2,2036,0.035714286
WNE2,2037,0.035714286
WNE2,2038,0.035714286
WNE2,2039,0.035714286
WNE2,2040,0.035714286
WNE2,2041,0.035714286
WNE2,2042,0.035714286
WNE2,2043,0.035714286
WNE2,2044,0.035714286
WNE2,2045,0.035714286
WNE2,2046,0.035714286
WNE2,2047,0.035714286
WNE2,2048,0.035714286
WNE2,2049,0.035714286
WNE2,2050,0.035714286
WNE2,2051,0.035714286
WNE2,2052,0.035714286
WNE2,2053,0.035714286
WNE2,2054,0.035714286
WNE2,2055,0.035714286
WNE2,2056,0.035714286
WNE2,2057,0.035714286
WNE2,2058,0.035714286
WNE2,2059,0.035714286
WNE2,2060,0.035714286
WNE2,2061,0.035714286
WNE2,2062,0.035714286
WNE2,2063,0.035714286
WNE2,2064,0.035714286
WNE2,2065,0.035714286
